date,EU,US,CH
2011,15758625,15542600,7492257
2012,14645469,16197050,8539472
2013,15299968,16784825,9625044
2014,15656402,17527275,10524211
2015,13549987,18238300,11113528
2016,13888145,18745100,11227075
2017,14753450,19542975,12265317
2018,15960228,20611875,13841901
2019,15621673,21433225,14401726
2020,14926538,20932800,15566394
