"region";"subregion";"key";"value"
"Europe";"Western Europe";"Alemania";3.3
"Americas";"South America";"Argentina";8.5
"Oceania";"Australia and New Zealand";"Australia";5
"Americas";"South America";"Brazil";11.6
"Americas";"Northern America";"Canada";5.8
"Asia";"Eastern Asia";"China";3.8
"Europe";"Southern Europe";"España";14.4
"Americas";"Northern America";"Estados Unidos";3.9
"Europe";"Western Europe";"Francia";8.8
"Europe";"Southern Europe";"Grecia";18.5
"Europe";"Southern Europe";"Italia";10.3
"Asia";"Eastern Asia";"Japon";2.4
"Americas";"Central America";"Mexico";3.4
"Europe";"Southern Europe";"Portugal";6.6
"Europe";"Northern Europe";"Reino Unido";4
"Europe";"Eastern Europe";"Rusia";4.8
"Asia";"Western Asia";"Turquia";12.8
"Africa";"Southern Africa";"Sudafrica";27.1
