"region";"subregion";"key";"value"
"Europe";"Western Europe";"Germany";4.6
"Americas";"South America";"Argentina";11.7
"Oceania";"Australia and New Zealand";"Australia";7.5
"Americas";"South America";"Brazil";14.1
"Americas";"Northern America";"Canada";8.8
"Asia";"Eastern Asia";"China";5.2
"Europe";"Southern Europe";"España";16.2
"Americas";"Northern America";"Estados Unidos";6.7
"Europe";"Western Europe";"Francia";8.9
"Europe";"Southern Europe";"Grecia";16.7
"Europe";"Southern Europe";"Italia";9
"Asia";"Eastern Asia";"Japon";2.9
"Americas";"Central America";"Mexico";3.8
"Europe";"Southern Europe";"Portugal";6.5
"Europe";"Northern Europe";"Reino Unido";5
"Europe";"Eastern Europe";"Rusia";6.1
"Asia";"Western Asia";"Turquia";12.9
"Africa";"Southern Africa";"Sudafrica";30.8
