date,A,B,C,D
2011,1063763,2693560,2058369,1648756
2012,1031099,2745310,2088804,1624359
2013,1020348,2811350,2117189,1612751
2014,1032158,2927430,2149765,1627406
2015,1077590,3026180,2198432,1655355
2016,1113840,3134740,2234129,1695787
2017,1161878,3259860,2297242,1736593
2018,1202193,3356410,2360687,1771063
2019,1244757,3449050,2425708,1789747
2020,1119976,3330230,2275668,1632249
