"region";"subregion";"key";"value"
"Europe";"Western Europe";"Alemania";3.3
"Americas";"South America";"Argentina";8.5
"Oceania";"Australia and New Zealand";"Australia";5.1
"Americas";"South America";"Brazil";11
"Americas";"Northern America";"Canada";5.7
"Asia";"Eastern Asia";"China";3.6
"Europe";"Southern Europe";"España";13.7
"Americas";"Northern America";"Estados Unidos";3.5
"Europe";"Western Europe";"Francia";8.2
"Europe";"Southern Europe";"Grecia";16.5
"Europe";"Southern Europe";"Italia";9.6
"Asia";"Eastern Asia";"Japon";2.2
"Americas";"Central America";"Mexico";2.9
"Europe";"Southern Europe";"Portugal";6.7
"Europe";"Northern Europe";"Reino Unido";3.8
"Europe";"Eastern Europe";"Rusia";4.6
"Asia";"Western Asia";"Turquia";13.1
"Africa";"Southern Africa";"Sudafrica";29.1
