"region";"subregion";"key";"value"
"Europe";"Western Europe";"Alemania";3.9
"Americas";"South America";"Argentina";8.5
"Oceania";"Australia and New Zealand";"Australia";5.8
"Americas";"South America";"Brazil";12
"Americas";"Northern America";"Canada";7
"Asia";"Eastern Asia";"China";4
"Europe";"Southern Europe";"España";18.5
"Americas";"Northern America";"Estados Unidos";4.7
"Europe";"Western Europe";"Francia";9.9
"Europe";"Southern Europe";"Grecia";23.3
"Europe";"Southern Europe";"Italia";11.7
"Asia";"Eastern Asia";"Japon";3
"Americas";"Central America";"Mexico";3.4
"Europe";"Southern Europe";"Portugal";10.1
"Europe";"Northern Europe";"Reino Unido";4.8
"Europe";"Eastern Europe";"Rusia";5.3
"Asia";"Western Asia";"Turquia";12
"Africa";"Southern Africa";"Sudafrica";26.5
